drug,ccle_drug_name,ccle_target,gdsc_drug_name,gdsc_synonyms,gdsc_target,gdsc_target_pathway,ctrp_drug_name,ctrp_target,ctrp_target_description,synonyms
navitoclax:birinapant (1:1 mol/mol),,,,,,,navitoclax:birinapant (1:1 mol/mol),BCL2; BCL2L1; BCL2L2; DIABLO; XIAP,"inhibitor of BCL2, BCL-xL, and BCL-W;SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)",navitoclax:birinapant (1:1 mol/mol)
navitoclax:gemcitabine (1:1 mol/mol),,,,,,,navitoclax:gemcitabine (1:1 mol/mol),BCL2; BCL2L1; BCL2L2; CMPK1; RRM1; TYMS,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase ",navitoclax:gemcitabine (1:1 mol/mol)
navitoclax:mst-312 (1:1 mol/mol),,,,,,,navitoclax:MST-312 (1:1 mol/mol),BCL2; BCL2L1; BCL2L2; TERT,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of telomerase reverse transcriptase",navitoclax:MST-312 (1:1 mol/mol)
navitoclax:piperlongumine (1:1 mol/mol),,,,,,,navitoclax:piperlongumine (1:1 mol/mol),BCL2; BCL2L1; BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W;natural product; modulator of ROS levels",navitoclax:piperlongumine (1:1 mol/mol)
navitoclax:pluripotin (1:1 mol/mol),,,,,,,navitoclax:pluripotin (1:1 mol/mol),BCL2; BCL2L1; BCL2L2; MAPK1; RASAL1,"inhibitor of BCL2, BCL-xL, and BCL-W;promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK",navitoclax:pluripotin (1:1 mol/mol)
navitoclax:plx-4032 (1:1 mol/mol),,,,,,,navitoclax:PLX-4032 (1:1 mol/mol),BCL2; BCL2L1; BCL2L2; BRAF,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of BRAF",navitoclax:PLX-4032 (1:1 mol/mol)
navitoclax:sorafenib (1:1 mol/mol),,,,,,,navitoclax:sorafenib (1:1 mol/mol),BCL2; BCL2L1; BCL2L2; BRAF; FLT3; KDR; RAF1,"inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of BRAF, CRAF, and VEGFR2",navitoclax:sorafenib (1:1 mol/mol)
necrostatin-1,,,,,,,necrostatin-1,RIPK1,inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway,necrostatin-1
necrostatin-7,,,,,,,necrostatin-7,,inhibitor of necroptosis,necrostatin-7
necrosulfonamide,,,,,,,necrosulfonamide,,inhibitor of downstream signaling of RIP3 associated with MLKL,necrosulfonamide
nelarabine,,,,,,,nelarabine,POLA1,deoxyguanosine analog; inhibitor of DNA synthesis,nelarabine
neopeltolide,,,,,,,neopeltolide,,inhibitor of cellular respiration,neopeltolide
neratinib,,,,,,,neratinib,EGFR; ERBB2,inhibitor of EGFR and HER2,neratinib
neuronal differentiation inducer iii,,,,,,,neuronal differentiation inducer III,,induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity,neuronal differentiation inducer III
ng-25,,,NG-25,NG25,TAK1; MAP4K2,"Other, kinases",,,,NG25; NG-25
niclosamide,,,,,,,niclosamide,STAT3,inhibitor of STAT3 signaling,niclosamide
nilotinib,Nilotinib,ABL,Nilotinib,"Tasigna, AMN 107",ABL,ABL signaling,nilotinib,ABL1; BCR; KIT,"inhibitor of ABL1, BCR, and c-KIT",AMN 107; Tasigna; Nilotinib; nilotinib
nintedanib,,,,,,,nintedanib,FGFR1; FGFR2; FGFR3; FLT1; FLT3; KDR; PDGFRA; PDGFRB,"inhibitor of c-KIT, VEGFRs, PDGFRs, and FGFRs",nintedanib
npc-26,,,,,,,NPC-26,,"induces cell death through a non-apoptotic, mitochondrial-dependent mechanism",NPC-26
npk76-ii-72-1,,,NPK76-II-72-1,,PLK3,Cell cycle,,,,NPK76-II-72-1
nsc 74859,,,,,,,NSC 74859,STAT3,inhibitor of STAT3,NSC 74859
nsc-207895,,,NSC-207895,"XI-006, NSC207895",MDM4,p53 pathway,,,,NSC207895; NSC-207895; XI-006
nsc-87877,,,NSC-87877,NSC 87877,SHP-1 (PTPN6); SHP-2 (PTPN11),Other,,,,NSC-87877; NSC 87877
nsc19630,,,,,,,NSC19630,WRN,inhibitor of Werner syndrome helicase activity,NSC19630
nsc23766,,,,,,,NSC23766,RAC1; TIAM1; TRIO,inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1,NSC23766
nsc30930,,,,,,,NSC30930,SRD5A2,inhibitor of steroid 5-alpha reductase,NSC30930
nsc48300,,,,,,,NSC48300,TASP1,inhibitor of threonine endopeptidase taspase 1,NSC48300
nsc632839,,,,,,,NSC632839,USP13; USP5,inhibitor of ubiquitin isopeptidase,NSC632839
nsc95397,,,,,,,NSC95397,CDC25A; CDC25B; CDC25C,inhibitor of cell division cycle 25 phosphatase (CDC25),NSC95397
nu7441,,,NU7441,"KU-57788, NU-7432, NU-7741",DNAPK,Genome integrity,,,,KU-57788; NU7441; NU-7432; NU-7741
nutlin-3,Nutlin-3,MDM2,,,,,nutlin-3,MDM2,inhibitor of p53-MDM2 interaction,Nutlin-3; nutlin-3
nutlin-3a (-),,,Nutlin-3a (-),,MDM2,p53 pathway,,,,Nutlin-3a (-)
nvp-231,,,,,,,NVP-231,CERK,inhibitor of ceramide kinase,NVP-231
nvp-adw742,,,,,,,NVP-ADW742,IGF1R,inhibitor of insulin-like growth factor 1 receptor,NVP-ADW742
nvp-bhg712,,,NVP-BHG712,BHG712,EPHB4,Other,,,,BHG712; NVP-BHG712
nvp-bsk805,,,,,,,NVP-BSK805,JAK2,inhibitor of Janus kinase 2,NVP-BSK805
o-6-benzylguanine,,,,,,,O-6-benzylguanine,MGMT,inhibitor of O(6)-alkylguanine DNA alkyltransferases,O-6-benzylguanine
obatoclax,,,Obatoclax Mesylate,"GX15-070MS, Obatoclax, GX15-070",BCL2; BCL-XL; BCL-W; MCL1,Apoptosis regulation,obatoclax,BCL2; BCL2L1; MCL1,"inhibitor of MCL1, BCL2, and BCL-xL",GX15-070; obatoclax; Obatoclax Mesylate; Obatoclax; GX15-070MS
olaparib,,,Olaparib,"AZD2281, KU0059436,  Lynparza",PARP1; PARP2,Genome integrity,olaparib,PARP1; PARP2,inhibitor of poly (ADP-ribose) polymerase 1 and 2, Lynparza; AZD2281; Olaparib; olaparib; KU0059436
oligomycin a,,,,,,,oligomycin A,ATP5L2,inhibitor of mitochondrial ATP synthase,oligomycin A
omacetaxine mepesuccinate,,,,,,,omacetaxine mepesuccinate,,inhibitor of protein translation by preventing protein elongation,omacetaxine mepesuccinate
omipalisib,,,Omipalisib,"GSK2126458, GSK-2126458, EX-8678, GSK458",PI3K (class 1); MTORC1; MTORC2,PI3K/MTOR signaling,,,,Omipalisib; GSK2126458; GSK458; EX-8678; GSK-2126458
osi-027,,,OSI-027,A-1065-5,MTORC1; MTORC2,PI3K/MTOR signaling,OSI-027,MTOR,inhibitor of mTORC1 and mTORC2,A-1065-5; OSI-027
osi-930,,,OSI-930,OSI 930 OSI930,KIT,RTK signaling,OSI-930,KDR; KIT,inhibitor of c-KIT and VEGFR2,OSI 930 OSI930; OSI-930
osu-03012,,,OSU-03012,"AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12",PDK1 (PDPK1),"Other, kinases",,,,OSU 03012; PDK1 inhibitor AR-12; AR-12; OSU03012; OSU-03012
ouabain,,,,,,,ouabain,ATP1A1; ATP1A2; ATP1A3; ATP1A4; ATP1B1; ATP1B2; ATP1B3; ATP1B4,cardiac glycoside; inhibitor of the Na+/K+-ATPase,ouabain
oxaliplatin,,,,,,,oxaliplatin,,DNA alkylator; organoplatinum reagent,oxaliplatin
pac-1,,,PAC-1,GTPL5238,Procaspase-3; Procaspase-7,Apoptosis regulation,PAC-1,CASP3,activator of procaspase-3,PAC-1; GTPL5238
paclitaxel,Paclitaxel,TUBB1,Paclitaxel,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane",Microtubule stabiliser,Mitosis,paclitaxel,,inhibitor of microtubule assembly,paclitaxel; Paxene; Abraxane; Paclitaxel; Onxol; BMS-181339-01; Taxol; Praxel
palbociclib,PD-0332991,CDK4,Palbociclib,"PD0332991, PD-0332991, PF-00080665-73",CDK4; CDK6,Cell cycle,,,,PF-00080665-73; Palbociclib; PD-0332991; PD0332991
palmostatin b,,,,,,,palmostatin B,LYPLA1,inhibitor of acyl-protein thioesterase 1,palmostatin B
pandacostat,,,,,,,pandacostat,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",pandacostat
panobinostat,Panobinostat,HDAC,,,,,,,,Panobinostat
parbendazole,,,,,,,parbendazole,,inhibitor of microtubule assembly,parbendazole
parthenolide,,,Parthenolide,,HDAC1 ,Chromatin histone acetylation,parthenolide,,natural product; modulator of ROS; modulator of NF-kappa-B signaling,Parthenolide; parthenolide
pazopanib,,,Pazopanib,Votrient,CSF1R; KIT;  PDGFRA; PDGFRB,RTK signaling,pazopanib,FLT1; FLT3; KDR; KIT; PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFRB",Votrient; pazopanib; Pazopanib
pd 153035,,,,,,,PD 153035,EGFR,inhibitor of EGFR,PD 153035
pd0325901,PD-0325901,MEK,PD0325901,"PD-0325901, PD 0325901",MEK1; MEK2,ERK MAPK signaling,,,,PD-0325901; PD0325901; PD 0325901
pd173074,,,PD173074,"PD-173074, PD 173074",FGFR1; FGFR3,RTK signaling,,,,PD173074; PD 173074; PD-173074
pd318088,,,,,,,PD318088,MAP2K1; MAP2K2,inhibitor of MEK1 and MEK2,PD318088
pdmp,,,,,,,PDMP,UGCG,inhibitor of ceramide glucosyltransferase,PDMP
pelitinib,,,Pelitinib,"EKB-569, EKB 569",EGFR,EGFR signaling,,,,EKB-569; EKB 569; Pelitinib
pevonedistat,,,Pevonedistat,"MLN4924, MLN 4924, MLN-4924",NAE,Other,pevonedistat,NAE1,inhibitor of Nedd-8 activating enzyme,MLN-4924; MLN4924; pevonedistat; MLN 4924; Pevonedistat
pf-184,,,,,,,PF-184,IKBKB,inhibitor of IKK-2,PF-184
pf-3758309,,,,,,,PF-3758309,PAK4,inhibitor of serine/threonine p21-activating kinase 4,PF-3758309
pf-4708671,,,PF-4708671,"PF 4708671, PF4708671",S6K1,PI3K/MTOR signaling,,,,PF 4708671; PF-4708671; PF4708671
pf-4800567 hydrochloride,,,,,,,PF-4800567 hydrochloride,CSNK1D; CSNK1E,inhibitor of casein kinase isoforms delta and epsilon,PF-4800567 hydrochloride
pf-543,,,,,,,PF-543,SPHK1,inhibitor of sphingosine kinase-1,PF-543
pf-562271,,,PF-562271,PF-00562271,FAK; FAK2,Cytoskeleton,,,,PF-00562271; PF-562271
pf-573228,,,,,,,PF-573228,PTK2,inhibitor of focal adhesion kinase,PF-573228
pf-750,,,,,,,PF-750,FAAH,inhibitor of fatty acid amide hydrolase,PF-750
pfi-1,,,PFI-1,,BRD4,Chromatin other,,,,PFI-1
pfi-3,,,PFI-3,BDF00016096,SMARCA2; SMARCA4; PB1,Other,,,,PFI-3; BDF00016096
pha-665752,PHA-665752,c-MET,PHA-665752,"PHA665752, PHA 665752",MET,RTK signaling,,,,PHA665752; PHA 665752; PHA-665752
pha-793887,,,PHA-793887,"PHA793887, PHA 793887",CDK2; CDK7; CDK5,Cell cycle,PHA-793887,CDK1; CDK2; CDK4; CDK5; CDK7; CDK9,inhibitor of cyclin-dependent kinases,PHA-793887; PHA 793887; PHA793887
phenformin,,,Phenformin,DBI,Biguanide agent,Other,,,,DBI; Phenformin
phloretin,,,,,,,phloretin,SLC5A1,natural product; inhibitor of glucose uptake,phloretin
pi-103,,,PI-103,"PI-103, PI103, PI 103",PI3Kalpha; DAPK3; CLK4; PIM3; HIPK2,PI3K/MTOR signaling,PI-103,MTOR; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PRKDC,"inhibitor of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K",PI-103; PI 103; PI103
pictilisib,,,Pictilisib,"GDC-0941, GDC0941, RG-7621",PI3K (class 1),PI3K/MTOR signaling,GDC-0941,PIK3CA; PIK3CB; PIK3CD; PIK3CG,inhibitor of PI3K kinase activity,GDC-0941; Pictilisib; GDC0941; RG-7621
pifithrin-alpha,,,,,,,pifithrin-alpha,,inhibitor of p53-dependent signaling,pifithrin-alpha
pifithrin-mu,,,,,,,pifithrin-mu,HSPA1A; HSPA1B; HSPA1L; TP53,inhibitor of p53 binding to mitochondria; inhibitor of HSP70,pifithrin-mu
pik-93,,,PIK-93,"PIK 93, PIK93",PI3Kgamma,PI3K/MTOR signaling,PIK-93,PIK3CG,inhibitor of PI3K catalytic subunit gamma,PIK93; PIK-93; PIK 93
piperlongumine,,,Piperlongumine,Piplartine,Induces reactive oxygen species,Other,piperlongumine,,natural product; modulator of ROS levels,piperlongumine; Piplartine; Piperlongumine
piperlongumine:mst-312 (1:1 mol/mol),,,,,,,piperlongumine:MST-312 (1:1 mol/mol),TERT,natural product; modulator of ROS levels;inhibitor of telomerase reverse transcriptase,piperlongumine:MST-312 (1:1 mol/mol)
pitstop2,,,,,,,pitstop2,CLTA; CLTB; CLTC; CLTCL1,inhibitor of clathrin and clathrin-independent endocytosis,pitstop2
pl-di,,,,,,,PL-DI,,dimer of piperlongumine; inducer of ROS,PL-DI
platin,,,,,,,Platin,,DNA alkylator; organoplatinum reagent,Platin
pluripotin,,,,,,,pluripotin,MAPK1; RASAL1,promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK,pluripotin
plx-4032,,,,,,,PLX-4032,BRAF,inhibitor of BRAF,PLX-4032
plx4720,PLX4720,RAF,PLX-4720,"PLX4720, PLX 4720",BRAF,ERK MAPK signaling,PLX-4720,BRAF,inhibitor of BRAF,PLX-4720; PLX4720; PLX 4720
ponatinib,,,Ponatinib,"AP24534, AP-24534, KIN001-192, Iclusig",ABL; PDGFRA; VEGFR2; FGFR1; SRC; TIE2; FLT3,RTK signaling,,,,Ponatinib; AP-24534; Iclusig; KIN001-192; AP24534
prima-1,,,,,,,PRIMA-1,TP53,re-activator of the pro-apoptotic activity of mutant p53,PRIMA-1
prima-1-met,,,,,,,PRIMA-1-Met,TP53,re-activator of the pro-apoptotic activity of mutant p53,PRIMA-1-Met
prl-3 inhibitor i,,,,,,,PRL-3 inhibitor I,PTP4A3,inhibitor of phosphatase of regenerating liver-3 (PRL3),PRL-3 inhibitor I
procarbazine,,,,,,,procarbazine,,inducer of DNA damage,procarbazine
prochlorperazine,,,,,,,prochlorperazine,DRD2,inhibitor of dopamine receptor D2,prochlorperazine
purmorphamine,,,,,,,purmorphamine,SMO,activator of smoothened receptor,purmorphamine
px-12,,,,,,,PX-12,TXN,inhibitor of thioredoxin-1,PX-12
pyr-41,,,,,,,PYR-41,UBA1,inhibitor of ubiquitin-activating enzyme in cells,PYR-41
pyrazolanthrone,,,,,,,pyrazolanthrone,MAPK10; MAPK8; MAPK9,inhibitor of Jun N-terminal kinase (JNK) 1/2/3,pyrazolanthrone
pyrimethamine,,,Pyrimethamine,"Daraprim, Chloridine",Dihydrofolate reductase (DHFR),Other,,,,Daraprim; Pyrimethamine; Chloridine
ql-viii-58,,,QL-VIII-58,,MTOR; ATR,Other,,,,QL-VIII-58
ql-x-138,,,QL-X-138,,BTK,"Other, kinases",,,,QL-X-138
ql-xi-92,,,QL-XI-92,,DDR1,Other,,,,QL-XI-92
ql-xii-47,,,QL-XII-47,,BTK; BMX,"Other, kinases",,,,QL-XII-47
ql-xii-61,,,QL-XII-61,,BMX; BTK,"Other, kinases",,,,QL-XII-61
qs-11,,,,,,,QS-11,ARFGAP1,inhibitor of GTPase activating protein of ARF 1 (ARFGAP1),QS-11
qs11,,,QS11,944328-88-5,ARFGAP1,Other,,,,944328-88-5; QS11
quizartinib,,,Quizartinib,"AC220, AC 220, AC-220, Asp-2689",FLT3,RTK signaling,quizartinib,FLT3,inhibtor of VEGFR3,AC220; AC 220; Asp-2689; Quizartinib; AC-220; quizartinib
qw-bi-011,,,,,,,QW-BI-011,EHMT2,inhibitor of G9a histone methyltransferase,QW-BI-011
r428,,,,,,,R428,AXL,inhibitor of the tyrosine-protein kinase receptor UFO,R428
raf265,RAF265,RAF,,,,,RAF265,BRAF; KDR,ihibitor of VEGFR2 and BRAF,RAF265
refametinib,,,Refametinib,"RDEA119, BAY-86-9766, BAY 869766",MEK1; MEK2,ERK MAPK signaling,,,,Refametinib; RDEA119; BAY-86-9766; BAY 869766
regorafenib,,,,,,,regorafenib,BRAF; KDR; KIT; RET,"inhibitor of BRAF, RET, KIT, and VEGFR2",regorafenib
repligen 136,,,,,,,Repligen 136,HDAC3,inhibitor of HDAC3,Repligen 136
rg-108,,,,,,,RG-108,DNMT1,inhibitor of DNA methyltransferase,RG-108
rigosertib,,,,,,,rigosertib,PIK3CA; PIK3CB; PLK1,inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta,rigosertib
rita,,,,,,,RITA,MDM2; TP53,inhibitor of p53-MDM2 interaction,RITA
ro-3306,,,RO-3306,,CDK1,Cell cycle,,,,RO-3306
ro4929097,,,,,,,RO4929097,APH1A; NCSTN; PSEN1; PSENEN,inhibitor of gamma-secretase,RO4929097
rtrail,,,rTRAIL,,TRAIL receptor agonist,Apoptosis regulation,,,,rTRAIL
rucaparib,,,Rucaparib,"PF-01367338, AG-014699, AG-14447, AG-14699",PARP1; PARP2,Genome integrity,,,,AG-14699; PF-01367338; AG-14447; Rucaparib; AG-014699
ruxolitinib,,,Ruxolitinib,"INCB-18424, Ruxolitinib Phosphate, Jakafi",JAK1; JAK2,"Other, kinases",ruxolitinib,JAK1; JAK2,inhibitor of Janus kinases 1 and 2,Jakafi; Ruxolitinib; INCB-18424; Ruxolitinib Phosphate; ruxolitinib
s-trityl-l-cysteine,,,S-Trityl-L-cysteine,"NSC 83265, Tritylcysteine",KIF11,Mitosis,,,,NSC 83265; S-Trityl-L-cysteine; Tritylcysteine
salermide,,,,,,,salermide,SIRT1; SIRT2,inhibitor of sirtuin 1 and sirtuin 2,salermide
salermide:plx-4032 (12:1 mol/mol),,,,,,,salermide:PLX-4032 (12:1 mol/mol),SIRT1; SIRT2; BRAF,inhibitor of sirtuin 1 and sirtuin 2;inhibitor of BRAF,salermide:PLX-4032 (12:1 mol/mol)
salubrinal,,,Salubrinal,EIF-2alpha Inhibitor,EIF2A,Other,,,,EIF-2alpha Inhibitor; Salubrinal
saracatinib,AZD0530,ABL,Saracatinib,"AZD0530, AZD-0530, AZ-10353926",ABL; SRC,RTK signaling,saracatinib,ABL1; SRC,inhibitor of SRC and ABL1,AZD0530; AZD-0530; AZ-10353926; saracatinib; Saracatinib
sb-225002,,,,,,,SB-225002,CXCR2,inhibitor of chemokine receptor 2,SB-225002
sb-431542,,,,,,,SB-431542,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor,SB-431542
sb-525334,,,,,,,SB-525334,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor,SB-525334
sb-743921,,,,,,,SB-743921,KIF11,inhibitor of kinesin 11,SB-743921
sb216763,,,SB216763,"SB-216763, SB 216763",GSK3A; GSK3B,WNT signaling,,,,SB-216763; SB 216763; SB216763
sb505124,,,SB505124,"SB 505124, SB505124",ALK4; ALK5,RTK signaling,,,,SB 505124; SB505124
sb52334,,,SB52334,"SB-52334, SB 52334",ALK5,RTK signaling,,,,SB 52334; SB-52334; SB52334
sb590885,,,SB590885,SB-590885,BRAF,ERK MAPK signaling,,,,SB590885; SB-590885
sch-529074,,,,,,,SCH-529074,TP53,activator of mutant p53,SCH-529074
sch-79797,,,,,,,SCH-79797,F2R,antagonist of proteinase-activated receptor 1 (PAR1),SCH-79797
seliciclib,,,Seliciclib,"Roscovitine, CYC-202, AL-39256",CDK2; CDK7; CDK9,Cell cycle,,,,CYC-202; Seliciclib; Roscovitine; AL-39256
selisistat,,,Selisistat,"EX-527, EX 527",SIRT1,Chromatin histone acetylation,EX-527,SIRT1,inhibitor of sirtuin 1,EX-527; Selisistat; EX 527
selumetinib,AZD6244,MEK,Selumetinib,"AZD6244, AZD-6244, ARRY-886",MEK1; MEK2,ERK MAPK signaling,selumetinib,MAP2K1; MAP2K2,inhibitor of MEK1 and MEK2,Selumetinib; ARRY-886; selumetinib; AZD-6244; AZD6244
selumetinib:brd-a02303741 (4:1 mol/mol),,,,,,,selumetinib:BRD-A02303741 (4:1 mol/mol),MAP2K1; MAP2K2; DOT1L,inhibitor of MEK1 and MEK2;inhibitor of histone methyltransferases,selumetinib:BRD-A02303741 (4:1 mol/mol)
selumetinib:decitabine (4:1 mol/mol),,,,,,,selumetinib:decitabine (4:1 mol/mol),MAP2K1; MAP2K2; DNMT1,inhibitor of MEK1 and MEK2;inhibitor of DNA methyltransferase,selumetinib:decitabine (4:1 mol/mol)
selumetinib:gdc-0941 (4:1 mol/mol),,,,,,,selumetinib:GDC-0941 (4:1 mol/mol),MAP2K1; MAP2K2; PIK3CA; PIK3CB; PIK3CD; PIK3CG,inhibitor of MEK1 and MEK2;inhibitor of PI3K kinase activity,selumetinib:GDC-0941 (4:1 mol/mol)
selumetinib:jq-1 (4:1 mol/mol),,,,,,,selumetinib:JQ-1 (4:1 mol/mol),MAP2K1; MAP2K2; BRDT,inhibitor of MEK1 and MEK2;inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,selumetinib:JQ-1 (4:1 mol/mol)
selumetinib:mk-2206 (8:1 mol/mol),,,,,,,selumetinib:MK-2206 (8:1 mol/mol),MAP2K1; MAP2K2; AKT1,inhibitor of MEK1 and MEK2;inhibitor of AKT1,selumetinib:MK-2206 (8:1 mol/mol)
selumetinib:navitoclax (8:1 mol/mol),,,,,,,selumetinib:navitoclax (8:1 mol/mol),MAP2K1; MAP2K2; BCL2; BCL2L1; BCL2L2,"inhibitor of MEK1 and MEK2;inhibitor of BCL2, BCL-xL, and BCL-W",selumetinib:navitoclax (8:1 mol/mol)
selumetinib:piperlongumine (8:1 mol/mol),,,,,,,selumetinib:piperlongumine (8:1 mol/mol),MAP2K1; MAP2K2,inhibitor of MEK1 and MEK2;natural product; modulator of ROS levels,selumetinib:piperlongumine (8:1 mol/mol)
selumetinib:plx-4032 (8:1 mol/mol),,,,,,,selumetinib:PLX-4032 (8:1 mol/mol),MAP2K1; MAP2K2; BRAF,inhibitor of MEK1 and MEK2;inhibitor of BRAF,selumetinib:PLX-4032 (8:1 mol/mol)
selumetinib:tretinoin (2:1 mol/mol),,,,,,,selumetinib:tretinoin (2:1 mol/mol),MAP2K1; MAP2K2; RARA; RARB; RARG,inhibitor of MEK1 and MEK2;agonist of retinoid acid receptors,selumetinib:tretinoin (2:1 mol/mol)
selumetinib:unc0638 (4:1 mol/mol),,,,,,,selumetinib:UNC0638 (4:1 mol/mol),MAP2K1; MAP2K2; EHMT1; EHMT2,inhibitor of MEK1 and MEK2;inhibitor of EHMT2 and GLP methyltransferase,selumetinib:UNC0638 (4:1 mol/mol)
selumetinib:vorinostat (8:1 mol/mol),,,,,,,selumetinib:vorinostat (8:1 mol/mol),MAP2K1; MAP2K2; HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of MEK1 and MEK2;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",selumetinib:vorinostat (8:1 mol/mol)
semagacestat,,,,,,,semagacestat,APH1A; NCSTN; PSEN1; PSENEN,inhibitor of gamma-secretase,semagacestat
sepantronium bromide,,,Sepantronium bromide,"YM155, YM-155, YM 155",BIRC5,Apoptosis regulation,YM-155,BIRC5,inhibitor of survivin expression,Sepantronium bromide; YM 155; YM155; YM-155
serdemetan,,,Serdemetan,JNJ-26854165,MDM2,p53 pathway,serdemetan,MDM2,inhibitor of MDM2,JNJ-26854165; Serdemetan; serdemetan
serdemetan:sch-529074 (1:1 mol/mol),,,,,,,serdemetan:SCH-529074 (1:1 mol/mol),MDM2; TP53,inhibitor of MDM2;activator of mutant p53,serdemetan:SCH-529074 (1:1 mol/mol)
sgc0946,,,SGC0946,,DOT1L,Chromatin histone methylation,,,,SGC0946
sgx-523,,,,,,,SGX-523,MET,inhibitor of MET,SGX-523
shikonin,,,Shikonin,Anchusin,not defined,Other,,,,Anchusin; Shikonin
sid 26681509,,,,,,,SID 26681509,CTSL1,inhibitor of cathepsin L,SID 26681509
sildenafil,,,,,,,sildenafil,PDE5A,inhibitor of phosphodiesterase 5A,sildenafil
silmitasertib,,,,,,,silmitasertib,CSNK2A1; CSNK2A2,inhibitor of casein kinase 2,silmitasertib
simvastatin,,,,,,,simvastatin,HMGCR,inhibitor of HMG-CoA reductase,simvastatin
sirolimus,,,Rapamycin,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune",MTORC1,PI3K/MTOR signaling,sirolimus,MTOR,inhibitor of mTOR,WY-090217; AY-22989; Sirolimus; Torisel; Rapamycin; Rapamune; sirolimus
sirolimus:bortezomib (250:1 mol/mol),,,,,,,sirolimus:bortezomib (250:1 mol/mol),MTOR; PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,inhibitor of mTOR;inhibitor of 26S proteasome,sirolimus:bortezomib (250:1 mol/mol)
sitagliptin,,,,,,,sitagliptin,DPP4,inhibitor of dipetidyl peptidase-4,sitagliptin
sj-172550,,,,,,,SJ-172550,MDM2; TP53,inhibitor of p53-MDM2 interaction,SJ-172550
skepinone-l,,,,,,,skepinone-L,MAPK14,inhibitor of p38 MAPK,skepinone-L
ski-ii,,,,,,,SKI-II,SPHK1,inhibitor of sphingosine kinase 1,SKI-II
sl0101,,,SL0101,"SL-0101, SL 0101-1",RSK; AURKB; PIM1; PIM3,Other,,,,SL0101; SL 0101-1; SL-0101
smer-3,,,,,,,SMER-3,CUL1; SKP1,inhibitor of E3-ubiquitin ligase,SMER-3
sn-38,,,SN-38,"7-Ethyl-10-Hydroxy-Camptothecin, SN 38",TOP1,DNA replication,SN-38,TOP1,metabolite of irinotecan; inhibitor of topoisomerase I,7-Ethyl-10-Hydroxy-Camptothecin; SN 38; SN-38
sns-032,,,,,,,SNS-032,CDK16; CDK17; CDK2; CDK7; CDK9; CDKL5,inhibitor of cyclin-dependent kinases,SNS-032
snx-2112,,,SNX-2112,SNX 2112,HSP90,Protein stability and degradation,SNX-2112,HSP90AA1; HSP90B1,inhibitor of HSP90alpha and HSP90beta,SNX 2112; SNX-2112
snx-2112:bortezomib (250:1 mol/mol),,,,,,,SNX-2112:bortezomib (250:1 mol/mol),HSP90AA1; HSP90B1; PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,inhibitor of HSP90alpha and HSP90beta;inhibitor of 26S proteasome,SNX-2112:bortezomib (250:1 mol/mol)
sorafenib,Sorafenib,RTK,Sorafenib,"Nexavar, 284461-73-0, BAY 43-9006",PDGFR; KIT; VEGFR; RAF,RTK signaling,sorafenib,BRAF; FLT3; KDR; RAF1,"inhibitor of BRAF, CRAF, and VEGFR2",sorafenib; Nexavar; Sorafenib; 284461-73-0; BAY 43-9006
sotrastaurin,,,,,,,sotrastaurin,PRKCB,inhibitor of protein kinase C beta,sotrastaurin
spautin-1,,,,,,,spautin-1,USP10; USP13,inhibitor of the deubiquitinase activity of USP13 and USP10,spautin-1
sr-ii-138a,,,,,,,SR-II-138A,EIF4A2; EIF4E; EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex,SR-II-138A
